id,original query
1,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
2,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
3,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
4,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
5,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
6,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
7,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
8,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
9,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
10,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
11,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
12,"SELECT ""a"".""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
13,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
14,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
15,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
16,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
17,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
18,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
19,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
20,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
21,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
22,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
23,"WITH ""CTE1"" AS (SELECT DISTINCT ""sell_date"",""product"" FROM ""Activities"") SELECT ""sell_date"",COUNT(1) AS ""num_sold"",STRING_AGG(""product"", ',' ORDER BY ""product"") AS ""products"" FROM ""CTE1"" GROUP BY ""sell_date"""
24,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
25,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
26,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
27,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
28,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
29,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
30,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
31,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
32,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
33,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
34,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
35,"SELECT ""aa"".""sell_date"",COUNT(DISTINCT ""aa"".""product"") AS ""num_sold"",STRING_AGG("
36,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
37,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
38,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
39,"WITH ""x"" AS (SELECT DISTINCT * FROM ""Activities"") SELECT DISTINCT ""sell_date"",COUNT(""product"") AS ""num_sold"",STRING_AGG("
40,"SELECT ""sell_date"",COUNT(DISTINCT (""product"")) AS ""num_sold"",STRING_AGG("
41,"SELECT ""sell_date"",COUNT(DISTINCT ""product"") AS ""num_sold"",STRING_AGG("
